Record,Description,Connection strength,Preferred Stage,Preferred Sector
Ben Lakoff,"Ben Lakoff is an entrepreneur, investor, and mentor with a passion for learning and travel. Fluent in multiple languages, he offers expertise in business development, coaching, and advisory services to early-stage startups. Ben is dedicated to collabor...",Weak,"Pre-Seed,Seed,Early Stage",
Distributed Ventures,"Distributed Ventures invests in innovative firms that are reshaping the landscape of risk management within the Insurtech, Fintech, and Health & Benefits sectors.",Very weak,"Seed,Series A,Early Stage,Growth Stage","FinTech,Healthcare,Insurtech"
PurposeBuilt Ventures,"Purpose Built is a venture studio that brings together pre-idea entrepreneurs, capital, coaching, and resources to turn the best ideas into great companies focused on fintech, upskilling, and the future of work. They partner with future founders, gener...",Very weak,"Angel,Pre-Seed,Early Stage",FinTech
Bain Capital Life Sciences,"Bain Capital, LP is one of the world’s leading multi asset alternative investment firms. With offices on four continents, our global team aligns our interests with those of our investors and partners for lasting impact. Bain Capital is one of the world...",Very weak,,"Healthcare,Biotech / Life Sciences"
Shine Capital,Shine Capital is a venture capital firm that supports early-stage entrepreneurs with funding and guidance to drive innovation and success.,Very weak,"Angel,Pre-Seed,Seed,Early Stage",
The Helm,The Helm is an early-stage venture firm and angel syndicate based in New York City that invests in transformative companies founded by women.,Very weak,"Angel,Early Stage",Consumer
Hercules Ventures,"Hercules Ventures, also known as Hercules VC, is a Web3 Investment Firm that specializes in investing in attention and category building. With a focus on pioneering Web3 investment, the company is dedicated to crafting attention and cultivating categor...",Very weak,,Web3
Silvermine Capital,"Silvermine Capital Partners is a company dedicated to cultivating and accelerating disruptive growth stage companies and decentralized projects. They specialize in areas that traditional venture capital and private equity overlook, leveraging technolog...",Very weak,Growth Stage,"AI,Blockchain,FinTech,Cybersecurity,Climate Tech"
Transform Capital,Transform Capital is a private alternative investment firm that funds people with ideas which challenge the status quo and improve the human condition.,Very weak,,
Monitor Capital Investments,"Monitor Capital offers exclusive global access to prestigious real estate projects, private equity deals, and venture capital funds.",Very weak,,
AlphaDAO,"AlphaDao is an exclusive community that connects institutional founders, builders, and venture capitalists to invest in and support projects that are shaping the future of Web3 and the digital assets space.",Very weak,,"Web3,Crypto,Blockchain"
DPI CAPITAL,Investing in Web3 projects in AI - Infra - Gaming - DePin - RWA - DeFi,Very weak,,"Web3,AI,DeFi"
LaunchTN,Launch Tennessee is a private-public partnership empowering Tennessee's entrepreneurial ecosystem through strategic partnerships and hosting the annual 36|86 Festival in Nashville.,Very weak,,
L'ATTITUDE Ventures,L'ATTITUDE Ventures is an early stage institutional platform that invests in technology and technology-enabled businesses led and owned by US Latinos. They have exceeded their $100M fundraising target and invested in 27 companies within a year. With a ...,Very weak,"Pre-Seed,Seed,Series A,Early Stage","FinTech,Healthcare,Consumer,E-Commerce / Marketplaces"
Randev Ventures,"Randev Ventures is a closed network fund investing in early stage startups across India, SEA, and the USA, providing tech-first founders with capital and resources for growth.",Very weak,"Angel,Seed,Early Stage","FinTech,Consumer,E-Commerce / Marketplaces,Insurtech"
Australian Gulf Capital,"Australian Gulf Capital is a global investment management firm that specializes in alternative investments, offering innovative solutions designed to reduce risk and promote sustainable growth for a diverse range of investors, including corporations, f...",Very strong,,
Impossible Finance,"Impossible Finance simplifies participation in decentralized finance (DeFi) by conducting thorough due diligence on early-stage investments, enabling users to engage confidently and access better investment terms typically reserved for venture capitali...",Very weak,"Pre-Seed,Seed,Early Stage","DeFi,Blockchain,FinTech"
Jed Ng,"AngelSchool.vc is the ultimate accelerator for Angel Investors, offering Venture Programs and Exclusive Deal flow. They provide a Fellowship program to help emerging investors build, run, and scale their own Angel syndicates.",Very weak,Angel,
ArcheMatrix Ventures,,Very weak,"Angel,Seed,Early Stage",
TTV Capital,TTV Capital is a fintech-focused venture capital and private equity firm with a seasoned team that helps businesses thrive through industry knowledge and relationships.,Very weak,,FinTech
Bond,"BOND is a global technology investment firm that supports visionary founders throughout their entire life cycle of innovation & growth. The company specializes in Venture Capital and Private Equity investments, providing strategic support to entreprene...",Very weak,"Series A,Series B,Series C+,Early Stage,Growth Stage",
Interlace Ventures,"Interlace Ventures is an early stage venture capital firm investing in founders reimagining commerce. They have a deep understanding of the commerce infrastructure landscape and support a community of entrepreneurs, brands, and retailers. The company i...",Very weak,"Angel,Seed,Series A,Early Stage","Consumer,E-Commerce / Marketplaces"
SKU'D Ventures,"SKU'd Ventures is a pre-seed venture capital firm supporting consumer brand startups with a focus on innovation in health & wellness, sustainability, and targeted demographics.",Very weak,Pre-Seed,"Healthcare,Consumer,Climate Tech"
houck's newsletter,"Founding Journey provides a newsletter that offers tactical advice and insights to startup founders on building, growing, and raising capital, drawing from the experiences of successful entrepreneurs and industry experts.",Good,,
Eberg Capital,"Eberg Capital is an investment fund that supports innovative companies in the sports, gaming, arts, and web3 industries. With a hands-on approach, they nurture creators and fans to build authentic relationships and redefine the future of these dynamic ...",Strong,"Angel,Seed,Series A,Early Stage",Web3
Entrée Capital,"Entrée Capital specializes in providing multi-stage venture capital funding to innovative seed, early, and growth stage companies across various industries, including fintech, deep tech, AI, and blockchain, while also offering strategic market insights...",Very weak,"Seed,Early Stage,Growth Stage","AI,Blockchain,FinTech"
Acrew Capital,Acrew Capital is a venture capital firm that is redefining the future of venture by challenging the traditional norms of the industry. They prioritize diversity of perspectives to make informed decisions and aim to disrupt the hierarchy and homogeneous...,Very weak,,
CKB Eco Fund,"CKB Eco Fund is dedicated to fostering innovations on CKB. We invest in startups that drive adoption, scalability, and accessibility of CKB.",Very weak,,Blockchain
BoxGroup,"BoxGroup is an early stage technology investment fund based in NYC, managed by David Tisch, Adam Rothenberg, and Nimi Katragadda. They invest in dreams at the earliest stage with companies like Plaid, Airtable, Ro, Ramp, and many more. BoxGroup's goal ...",Very weak,"Angel,Seed,Early Stage","AI,FinTech,E-Commerce / Marketplaces"
Coppola Ventures,"Coppola Ventures (coppolaventures.com) is a company that specializes in owning, operating, and investing in great assets. They are known for their expertise in Venture Capital and Private Equity Principals.",Very strong,,
Deep Ventures,"Deep Ventures is an Angel Investment and research firm that invests in early stage deep tech startups. They provide support to deeply driven founders tackling technical problems in sectors like AI/ML, blockchain, medicine, health, education, agricultur...",Very weak,"Angel,Seed,Early Stage","AI,Blockchain,Healthcare,Machine Learning"
1kx,"1kx is an early stage investment firm focused on ecosystem growth, helping founders bootstrap token networks.",Very weak,"Pre-Seed,Seed,Early Stage","Crypto,DeFi,Blockchain"
Kleiner Perkins,"Kleiner Perkins is a renowned venture capital firm in Silicon Valley, partnering with innovative founders in technology and life sciences to make history through bold investments.",Very weak,,"AI,Biotech / Life Sciences"
TBV,"TBV provides comprehensive support for web3 projects, offering fundraising assistance, token launch guidance, and community-building events to foster collaboration and memorable experiences within the industry.",Weak,"Angel,Pre-Seed,Seed,Early Stage",Web3
New Form Capital,"New Form Capital is a venture capital and private equity firm that backs exceptional teams engineering the next generation of financial markets. They invest in projects at the intersection of blockchain technology, financial markets, and data, focusing...",Weak,"Seed,Series A,Early Stage","Blockchain,FinTech"
Ga^3in Ventures,"Ga^3in Ventures is a global active alumni angel investors group that combines the power of an MBA network with a startup community. They select promising startups with a positive impact on communities, help them gain traction in the U.S., syndicate inv...",Strong,"Angel,Seed,Early Stage",
Caffeinated Capital,"Caffeinated Capital is an early stage venture capital firm based in San Francisco, California. They partner with unbreakable founders who are radically transforming the way the world works. The company accelerates exceptional individuals with transform...",Very weak,"Angel,Seed,Series A,Early Stage",
Brian Wong Growth Ventures,"BW Growth Ventures is a venture capital firm founded by Brian Wong. The company focuses on investing in early-stage startups in the web2 and web venture capital space. They provide funding, mentorship, and strategic guidance to help startups grow and s...",Weak,"Angel,Pre-Seed,Seed,Early Stage",
Everest Capital Group,"Everest Capital Group, headquartered in Washington, DC, provides corporate financial consulting, CFO advisory services, and investment analysis to private mid-size and venture-backed growth stage companies in the United States and abroad. Specializing ...",Very weak,Growth Stage,
WAGMI Ventures,"WAGMI Ventures: Global syndicate of 20,000+ web3 investors providing access to venture-backed startups for founders.",Good,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage",Web3
Unpopular Ventures,"Unpopular Ventures is an innovative investment firm that backs early-stage tech startups on the road less traveled, aiming to identify tomorrow's category-defining companies.",Very weak,"Angel,Pre-Seed,Seed,Early Stage",
Recharge Capital,"Recharge Capital is a thematic first private investment vehicle headquartered in New York and Singapore. With a focus on fintech, healthcare, and deep tech enablement, the company identifies and invests in high-potential companies to close value chains...",Very weak,,"AI,FinTech,Healthcare"
Hustle Fund,"Hustle Fund is a venture capital fund that invests in hustlers at the pre-seed and seed stages, providing fast funding decisions, mentorship, and a vast network for startup growth.",Good,"Pre-Seed,Seed",Consumer
konvoy,Konvoy is a thesis-driven venture capital firm that focuses on investing in innovative platforms and technologies at the forefront of the gaming industry.,Strong,"Seed,Series A,Early Stage",
Primal Capital,"Primal Capital is a global Web3 fund investing in culture-shifting ideas and innovations, with a diverse portfolio in web3 & blockchain applications for consumer and enterprise adoption.",Very weak,,"Web3,Blockchain,Consumer,Enterprise"
VITAL VENTURES,"VITAL VENTURES is a consumer-focused investment and strategic advisory firm that collaborates with private equity firms, family offices, and entrepreneurs worldwide. They offer expertise in deal origination, diligence, partnerships, and growth strategi...",Very weak,,Consumer
Punch Capital,"Punch Capital is dedicated to identifying and supporting exceptional first and second-generation immigrant founders. Through weekly investment reviews, personalized feedback, and in-depth discussions, we aim to empower the top 1% of immigrant entrepren...",Very weak,"Angel,Pre-Seed,Seed,Series A,Early Stage",
Chingona Ventures,"Chingona Ventures is a venture capital and private equity firm that focuses on investing in the next generation of badass founders. They specialize in pre-seed companies in industries such as financial technology, female technology, food technology, he...",Very weak,Pre-Seed,FinTech
Seed Round Capital,"Seed Round Capital is an early stage venture capital investment and advisory firm based in Houston, Texas. They specialize in investing in pre-seed and seed stage startups, providing mentoring, fundraising support, and expert guidance to help startups ...",Very weak,"Pre-Seed,Seed,Early Stage",E-Commerce / Marketplaces
Correlation Ventures,"Correlation Ventures leverages predictive analytics to facilitate co-investment decisions for founders and lead investors within a two-week timeframe, aiming to transform the venture capital industry and enable businesses to innovate and thrive.",Very weak,,
EnigmaFund,EnigmaFund is a Web3 Venture Capital fund and advisory practice supporting founders in building critical tools and experiences with a unique investment thesis.,Very weak,,Web3
Stateless Ventures,"Stateless Ventures is a full stack venture firm investing across all stages of the startup life cycle. Their primary focus is on the intersection of AI, crypto, and web3. With a family of funds including a liquid fund, venture fund, and opportunistic S...",Very weak,"Pre-Seed,Seed,Series A,Series B,Series C+,Early Stage,Growth Stage,Late Stage","Web3,Crypto,AI"
Amplify.LA,"Amplify.LA is a Venice-based venture capital firm that empowers tech entrepreneurs with seed funding, mentorship, and workspace to grow successful startups in Los Angeles.",Very weak,"Angel,Seed,Early Stage",
V3ntures,"V3ntures is a venture capital and private equity firm with a focus on the next billion users of web3 technology. They invest in ambitious founders who are building the necessary tools and infrastructure for mainstream adoption, fueling the growth of we...",Weak,"Seed,Series A,Early Stage",Web3
Figment Capital,"Figment Capital is a Web3 infrastructure fund that invests in high conviction, early-stage blockchain infrastructure projects. Supported by Figment Inc., a leading Web3 infrastructure provider, Figment Capital works closely with founders to empower nex...",Very weak,"Angel,Seed,Early Stage","Web3,Blockchain"
Counter Culture Ventures,"Counter Culture Ventures (CCV) is a venture capital firm dedicated to expediting the success of unconventional visionaries and misunderstood ideas. With a focus on early-stage investments, CCV aims to dismantle the artifice in the venture capital ecosy...",Very weak,"Angel,Seed,Series A,Early Stage",
Gloucester Circus,Gloucester Circus is a very British Family Office operating in the UK and the US. They focus on investing in start-ups and SMEs with significant growth potential through industry-wide research and a proprietary due diligence process. The company is ind...,Weak,"Seed,Series A,Series B,Early Stage,Growth Stage","FinTech,E-Commerce / Marketplaces"
eHealth Ventures,"eHealth Ventures is a unique, early stage digital health fund that optimizes venture building through strategic healthcare partnerships. Their professional team supports clinical integration, business validation, and commercial expansion for portfolio ...",Very weak,"Angel,Seed,Early Stage",Healthcare
37 Angels,37 Angels: A community of 100+ angel investors promoting diversity in angel investing through education and empathy.,Very weak,"Angel,Seed,Early Stage",
LAUNCH,"LAUNCH is an early stage investment firm and media company founded by Jason McCabe Calacanis. They support founders, inspire innovation, and provide various programs like the LAUNCH Festival, Hackathon, Accelerator, and Fund to help startups grow and s...",Weak,"Angel,Seed,Early Stage",
Cooley,"Cooley provides legal services to entrepreneurs, investors, and established businesses, leveraging a team of 900 attorneys across multiple international offices to address complex legal challenges.",Very strong,,
BITKRAFT,"BITKRAFT Ventures is a global investment platform specializing in Synthetic Reality™, focusing on Seed, Series A, and Series B investments in gaming, Web3, and immersive technology. Founded by gamers for gamers, BITKRAFT empowers extraordinary founders...",Good,"Seed,Series A,Series B","Web3,Metaverse"
Saola Ventures,Saola Ventures is a strategic investment firm backing founders in disruptive technology companies across various sectors.,Very weak,,
Maveron,"Maveron is a consumer-only venture capital firm that invests in early-stage consumer companies, partnering with exceptional founders to build iconic brands.",Very weak,"Angel,Seed,Early Stage",Consumer
Black Jays,"Black Jays Investments is a boutique venture firm in NYC, backing innovative startups to reshape consumer experiences and disrupt industries through early investments and strategic support.",Very weak,"Angel,Seed,Early Stage",Consumer
Entrepreneur First,"Entrepreneur First invests in top technical talent to build startups from scratch, connecting individuals with co-founders and investors to create world-changing companies valued at over $10 billion.",Very weak,"Pre-Seed,Seed,Early Stage","Consumer,E-Commerce / Marketplaces"
Max Ventures,"Max Ventures is an early-stage venture capital firm that specializes in leading and co-leading pre-seed and seed funding rounds, having made over 65 investments and co-founded multiple venture-backed companies since its inception.",Weak,"Pre-Seed,Seed,Early Stage",
Interplay Ventures,"Interplay is an ecosystem that accelerates humankind's potential by supporting entrepreneurs with capital, mentorship, and educational content.",Very weak,,
Brinc,Brinc is a venture capital and accelerator firm empowering game changers to solve global challenges through IoT entrepreneurship.,Very weak,,"Enterprise,E-Commerce / Marketplaces"
gener8tor,"gener8tor provides a comprehensive platform for the creative economy, facilitating connections among startup founders, artists, investors, and corporations through its accelerator programs, mentorship, and funding opportunities aimed at fostering high-...",Very weak,,Creator Economy
GS Futures,"GS Futures is an early stage venture fund under the GS Group, investing in Climate & Energy Transition Tech, Construction & Real Estate Tech, and Consumer Tech. As a corporate venture capital entity, GS Futures partners with teams for long-term success...",Very weak,"Angel,Seed,Early Stage","Consumer,Climate Tech"
Patron,"Patron is an early stage venture firm investing in the convergence of games and consumer startups, known as the Spectrum of Play. The team consists of experienced builders and founders dedicated to shaping the future of the industry, with key members h...",Very weak,"Angel,Seed,Early Stage",Consumer
triptyq.vc,"Triptyq Capital is a premier seed stage venture capital fund specializing in investing in cutting-edge technology companies that drive innovation in digital entertainment and interactive media. With a focus on the creator economy, metaverse, XR, and We...",Very weak,"Pre-Seed,Seed,Early Stage","Metaverse,Creator Economy"
KB Partners,"KB Partners is a Chicago-based venture capital firm established in 1996, specializing in early-stage technology companies at the intersection of sports and technology. With a passion for building great companies, KB Partners leverages its experience an...",Very weak,"Pre-Seed,Seed,Early Stage","Web3,AI,FinTech,Consumer,Cloud Computing,Mobility / Transportation"
L2 Iterative,"L2 Iterative Ventures supports modular, multi-chain blockchain projects and zero knowledge proof applications, leading the digital revolution with a focus on decentralized platforms.",Very weak,"Angel,Seed,Early Stage","Blockchain,FinTech"
Big Brain Holdings,"BigBrain Holdings is a crypto-exclusive venture fund specializing in early-stage investments in blockchain technology. As a thesis-driven firm, we support visionary founders shaping the future by investing in companies with disruptive potential in vari...",Good,"Pre-Seed,Seed,Early Stage","Crypto,Blockchain"
The Venture Collective,"The Venture Collective (TVC) is a transformational, early stage venture business that is on a mission to bridge the funding gap for underrepresented founders. We are a support first, milestone-driven investor who contributes capital, time, and networks...",Very weak,"Pre-Seed,Seed,Early Stage",
Plug and Play Tech Center,"Plug and Play Tech Center is the world's largest startup accelerator and VC, connecting entrepreneurs, corporations, and investors globally to drive open innovation and growth for startups.",Weak,"Seed,Series A,Early Stage","Enterprise,E-Commerce / Marketplaces"
Humble Ventures,"humble ventures drives innovation through diversity, supporting diverse founders and organizations to create lasting impact.",Very weak,,
mechanism capital,Venture capital and private equity firm investing in innovative companies.,Very weak,,
P2v,,Weak,,
Hypersphere Ventures,"Hypersphere Ventures is a crypto native investment platform that partners with early-stage and public blockchain networks to target asymmetric opportunities in digital asset markets, aiming to generate superior returns for its investors through a multi...",Weak,"Angel,Seed,Early Stage","Crypto,Blockchain"
CoinFund,"CoinFund is a leading cryptoasset investment firm based in Brooklyn, NY. They strategically invest in blockchain technology, support projects, and assist entrepreneurs in the decentralized space.",Good,"Seed,Series A,Early Stage,Growth Stage","Crypto,Blockchain"
Alumni Ventures,"Alumni Ventures is America's largest venture firm for individual investors, offering professional-grade venture capital portfolios since 2014. With a network of 10,000+ investors, we provide access to diversified venture portfolios in highly competitiv...",Weak,,
Virtue,"Virtue focuses on investing in early-stage healthcare startups led by exceptional founders, aiming to significantly innovate and improve the healthcare ecosystem.",Very weak,"Seed,Early Stage",Healthcare
TheVentureCity Fund,"TheVentureCity is a global, early stage venture fund that invests in diverse and mission-driven founders. They provide capital, expertise, and hands-on support to help founders achieve product-led growth. With hubs in Miami, Madrid, San Francisco, and ...",Weak,"Angel,Seed,Series A,Early Stage",
PitchBook Data,"PitchBook is a premier data software provider for VC, PE, and M&A professionals, offering a powerful suite of tools to support every stage of a transaction and empower global capital market professionals.",Weak,,
Crunchbase,"Crunchbase: The go-to platform for discovering innovative companies and industry leaders globally, providing insights on competition, trends, funding, and news. Trusted by millions, Crunchbase is the primary source for business information and prospect...",Very weak,None,
Fenwick & West,"Fenwick is a leading law firm, purpose-built to guide visionary tech and life sciences companies and their investors through every stage of growth, from startups securing their first round of funding to leading publicly-traded global enterprises. As one of Silicon Valley’s original legal practices, today we have over 500 lawyers, patent agents, engineers and scientists serving clients from seven offices located in innovation hubs across the United States and China. Named 2023 Life Sciences Practice Group of the Year by Law360, we are consistently ranked a Chambers first-tier firm for delivering the deep experience and technical skill that help innovators at the forefront of their industries redefine what’s possible. Content on this page may include attorney advertising.",Very strong,,
Cathexis,"Cathexis Holdings LP ISG Ltd is a $3 billion revenue general contractor headquartered in the UK. With a background in data centers, high-tech manufacturing, and commercial fit-out, the company provides a wide range of construction services. Partnered w...",Very weak,,
Placeholder,"Placeholder is a venture capital partnership based in New York City that focuses on investing in decentralized information networks, open blockchain technologies, and Web3 infrastructure.",Very weak,None,"Web3,Blockchain"
Selten Group,"Selten Group is a unique consortium of experienced executives and entrepreneurs dedicated to innovative value creation. With a focus on diverse sectors including real estate, logistics, sports management, and blockchain technologies, we invest in promi...",Very weak,,Blockchain
Loeb.nyc,"Loeb.nyc is a venture collective that pairs capital with expert support to accelerate startups' go-to-market strategies. Led by serial entrepreneurs, Michael Loeb and Richard Vogel, the NYC-based company offers a dynamic model that increases startups' ...",Very weak,"Seed,Series A,Series B,Early Stage",
New Stack Ventures,"New Stack Ventures is an early-stage venture capital firm founded in 2015 with a mission to invest in remarkable founders, particularly those considered as 'Outsiders'. The company empowers startups to gain attention from Tier 1 VCs, offering investmen...",Very weak,"Pre-Seed,Seed,Series A,Early Stage","AI,FinTech,Consumer,Big Data,Cloud Computing,Cybersecurity,E-Commerce / Marketplaces"
Valia Ventures,"Valia Ventures is a venture capital firm that invests in early-stage startups, providing initial funding ranging from $50,000 to $1,000,000 to support founders in building innovative and iconic companies, regardless of their development stage.",Very weak,"Angel,Seed,Early Stage",
Laconia,"Laconia leads investments in pre-seed and seed stage B2B software companies, offering support in sales, operations, and capital strategy.",Weak,"Pre-Seed,Seed","FinTech,E-Commerce / Marketplaces"
GD1,"GD1 is a Venture Capital firm based in Auckland, New Zealand, investing in high-growth technology companies originating from New Zealand. They provide capital, operational support, and international connections to help kiwi tech startups succeed global...",Very weak,"Seed,Series A,Early Stage,Growth Stage",
Grishin Robotics,"Grishin Robotics is a leading Silicon Valley VC firm specializing in consumer hardware, backing disruptive startups in online entertainment, gaming, food, education, and team productivity.",Very weak,"Seed,Series A,Series B,Early Stage,Growth Stage,Late Stage","Consumer,Collaboration / Productivity Tools,Creator Economy"
niya venture,"NIYA Partners is a venture capital firm that focuses on Series A, Series B, and beyond investments in unique and unexpected companies enabled by proprietary technology. They offer investment opportunities across all sectors and business models, aiming ...",Weak,"Series A,Series B",
Conscious Equity Ventures,"Conscious Equity Partners is an investment firm that specializes in long-term capital investment and providing operational expertise to mature conscious businesses. They cater to conscious investors, mindful investors, and those seeking conscious capit...",Very weak,"Growth Stage,Late Stage",
ALCOR Fund,"ALCOR FUND is a global investment firm offering funding, consulting, and financial services for Smart Startups, Buyouts, Private Equity, and M&A to drive rapid growth and exceptional results.",Very weak,,
Lightspeed Venture Partners,"Lightspeed Venture Partners is a multi-stage venture capital firm that focuses on accelerating disruptive innovations and trends in the consumer and enterprise sectors, having backed hundreds of entrepreneurs and helped build over 300 companies globally.",Very weak,"Seed,Series A,Series B,Series C+,Early Stage,Growth Stage,Late Stage","Consumer,Enterprise"
Approach Venture,Approach Venture supports founding teams in the frontier technology sector by providing resources and guidance to help them realize their full potential.,Weak,,"AI,Blockchain,FinTech,Healthcare,Big Data,Cloud Computing,Cybersecurity,Climate Tech,Robotics"
Cendana Capital,Cendana Capital is a San Francisco-based company that provides strategic and high conviction capital to very early stage VC funds globally. They are active investors in seed VC funds and are members of the LP Advisory Boards of various prominent ventur...,Very weak,"Angel,Seed,Early Stage",
Town Hall Ventures,"Town Hall Ventures is a venture capital and private equity firm that focuses on investing in health care solutions for underserved communities. They partner with passionate entrepreneurs to support the growth of impactful companies like Cityblock, Brig...",Very weak,,Healthcare
The Spartan Group,"Spartan Group is a leading blockchain investment and advisory firm based in Singapore and Hong Kong. Our partners are former veterans from the banking, hedge fund and venture capital worlds. We offer bespoke advisory services for leading blockchain projects and companies seeking to implement their Asia expansion, fundraising and ecosystem strategies. In addition, we also invest in blockchain projects via our investment arm.",Weak,"Seed,Early Stage,Growth Stage",Blockchain
protalabs.com,"Prota Ventures is a venture building and early stage investment firm with a mission to launch inspiring new ventures and invest in early stage founders. They promote human flourishing by investing holistically in entrepreneurs, believing in generosity,...",Good,"Angel,Seed,Early Stage",
Wheelhouse.io,"Wheelhouse is a company that serves as growth partners, specializing in design, operations, and investments. They provide services in venture capital and private equity, offering expertise in design, operations, and investment strategies to support bus...",Very weak,,
Calm Ventures,Calm Ventures is a Los Angeles-based venture capital firm investing in breakout technology companies to drive growth and innovation.,,,
U First Capital,"U First Capital is a Silicon Valley-based firm that offers Venture Capital as a Service for Corporations. With a strong technology background and deep connections in the industry, they drive investments as a Corporate Venture Capital Innovation Hub, co...",Good,"Seed,Series A,Early Stage",
Share Ventures,"Share Ventures is a venture studio that invents and invests in companies unlocking human potential. They create new business concepts, provide seed funding, and drive acceleration through strategic partnerships with influencers, corporations, and inves...",Weak,"Angel,Seed,Early Stage","AI,FinTech,Healthcare,Consumer,Climate Tech"
BTG Network,"Beyond The Game Network is a community of professional athletes and business executives that partners with startups in the sports, media, and consumer sectors. They bring together athletes, startups, and business executives to create a powerful ecosyst...",Weak,"Pre-Seed,Seed,Series A,Early Stage,Growth Stage",Consumer
Keter Point,"Keter Point is an active investor in hospitality real estate, public markets, and early-stage private companies, with a focus on socially responsible investments and industry diversification.",Weak,"Angel,Seed,Early Stage",
Bloccelerate VC,"Bloccelerate is a venture fund and accelerator based in Seattle, WA, supporting entrepreneurs in building category-defining companies using blockchain technology. They provide mentoring, go-to-market solutions, access to peers and developers, academic ...",Strong,,Blockchain
Fika Ventures,Fika Ventures: Boutique seed fund investing in innovative solutions for meaningful problems through data and AI technologies.,Weak,"Angel,Seed,Early Stage","AI,Consumer,Big Data,Climate Tech"
Dorm Room Fund,"Dorm Room Fund is the original student preseed venture capital fund, backing student founders with investors, mentors, and their first check to propel their companies forward and kickstart careers in entrepreneurship and investing.",Very weak,"Angel,Pre-Seed,Seed",
Outlier Ventures,"Outlier Ventures is the world's leading Open Metaverse accelerator program, investing in and partnering with the best Web3 founders. They support over 100 startups annually, focusing on DeFi, NFTs, and blockchain infrastructure, with a strong emphasis ...",Very strong,"Angel,Seed,Series A,Early Stage","DeFi,Blockchain,NFTs"
denargo,Denargo Capital LLC: Colorado-based private equity firm enhancing business value and potential since the late 19th Century.,Very weak,,
G20 Ventures,"G20 Ventures is a capital partner that supports the growth of new businesses by providing early traction capital for East Coast enterprise technology startups. Backed by the expertise of 20 accomplished entrepreneurs, G20 Ventures offers smart money, g...",Very weak,"Pre-Seed,Seed,Early Stage","FinTech,Enterprise"
Bayes Ventures,,Very weak,,"FinTech,E-Commerce / Marketplaces,Insurtech"
KAYA VENTURES,"Kaya Ventures is an early stage venture capital firm led by Madeline Darcy, focused on expanding access to wellness. With a unique ability to identify emerging trends, support founders, and capitalize on market opportunities, Kaya Ventures aims to impr...",Weak,"Angel,Seed,Early Stage","Healthcare,Consumer,Climate Tech"
MyAsiaVc,"MyAsiaVC invests in businesses that leverage the secondary and tertiary effects of macrotrends, such as the disruptions caused by Covid-19 and advancements in networked societies, machine learning, and energy storage, to create innovative solutions in ...",Very strong,"Series A,Series B,Early Stage,Growth Stage","AI,Machine Learning,Climate Tech"
Alchemist Accelerator,"Alchemist Accelerator is a top-ranked venture-backed accelerator specializing in early-stage ventures monetizing from enterprises. It offers a 6-month program, seed investment, and corporate services through AlchemistX, including the AXII podcast.",Very weak,"Angel,Seed,Early Stage","Enterprise,E-Commerce / Marketplaces"
Reciprocal Ventures,Reciprocal Ventures: A NY-based VC firm shaping the future of Web3 by empowering developers with smart contract platforms like Solana.,Good,,"Web3,Blockchain"
Primer Sazze Partners,"At Sazze Partners, we invest in ideas with global ambition across East Asia and North America. With your ambition and our experience, we mentor your first steps into entrepreneurship and help you expand your vision into a global business.",Very weak,"Angel,Seed,Early Stage",
Lemniscap,Lemniscap is an early-stage investment firm that focuses on investing in emerging cryptoassets and blockchain startups.,Very weak,"Angel,Seed,Early Stage","Crypto,Blockchain"
The National Venture Capital Association - NVCA,"The National Venture Capital Association (NVCA) is the premier trade association representing the U.S. venture capital industry. With over 400 member firms, NVCA advocates for the importance of venture capital in the U.S. economy, supports entrepreneur...",Very strong,,
Crew Capital,Crew Capital is a venture capital firm investing in category-defining technology companies with a unique strategy driven by active operator GP's and institutional-grade resources.,Very weak,,
ECHELON,"ECHELON: A VC Fund of Funds in the TFS Ecosystem, uniting emerging managers with diverse industry backgrounds for a unique investment approach.",Very weak,,
HashKey Capital,"HashKey Capital is a global leader in digital assets and blockchain technology, empowering pioneers to build the open economy and driving industry adoption through investments and support.",Very weak,,"Crypto,Blockchain"
Carta,"Carta provides a comprehensive platform that assists innovators throughout their journey from initial concept to initial public offering, focusing on enhancing equity ownership accessibility for a broader audience.",Very strong,"Growth Stage,Late Stage","FinTech,Enterprise,Cloud Computing"
Sapir Venture Partners,"Sapir Venture Partners is a pre-seed deep tech VC firm specializing in foodtech, agtech, biotechnology, and other cutting-edge sectors. With a focus on empowering entrepreneurs, they invest in seed-stage companies at the forefront of innovation in vari...",Very weak,"Pre-Seed,Seed","Biotech / Life Sciences,Climate Tech"
StartFast,"StartFast Ventures focuses on investing in B2B SaaS companies located outside of major venture capital hubs, aiming to support and back innovative businesses that have the potential to create significant global impact.",Weak,"Seed,Series A,Series B,Early Stage","FinTech,E-Commerce / Marketplaces"
draper dragon,"Draper Dragon, founded in 2006, is a cross-border venture fund connecting Silicon Valley and Asia. Specializing in early-stage disruptive companies, it has a strong track record in technology and healthcare investments.",Very weak,"Angel,Seed,Early Stage",Healthcare
Avalanche VC,"Avalanche VC invests early in transformative trends in learning, earning, and ownership, seeking founders with a forward-moving vision.",Very weak,"Pre-Seed,Seed,Series A,Early Stage",
